station,block_id,catalog_source,source_event_id,reference_time,unified_candidate_id,event_class,evaluation_group,existing_fold_roles,prior_pilot_fold_exposed,prospective_event_recall_eligibility
S15,S15_B1,PDS-levent,levent-07320,1973-11-10T01:28:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07321,1973-11-10T02:52:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07322,1973-11-10T21:17:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07323,1973-11-10T22:55:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07324,1973-11-10T23:38:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07325,1973-11-12T11:40:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07326,1973-11-12T12:48:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07327,1973-11-12T21:50:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07328,1973-11-12T21:57:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07329,1973-11-13T03:27:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07330,1973-11-13T04:53:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07331,1973-11-13T15:45:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07332,1973-11-14T02:16:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07333,1973-11-17T01:53:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07334,1973-11-17T07:30:00,levent-07334,deep_moonquake_assigned,deep-family:A1,test,1,exclude_prior_pilot_exposed
S15,S15_B1,PDS-levent,levent-07335,1973-11-18T14:23:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07336,1973-11-20T21:00:00,levent-07336,natural_impact,event:levent-07336,train,1,exclude_prior_pilot_exposed
S15,S15_B1,PDS-levent,levent-07337,1973-11-21T15:22:00,levent-07337,natural_impact,event:levent-07337,train,1,exclude_prior_pilot_exposed
S15,S15_B1,PDS-levent,levent-07338,1973-11-22T13:57:00,levent-07338,natural_impact,event:levent-07338,train,1,exclude_prior_pilot_exposed
S15,S15_B1,PDS-levent,levent-07339,1973-11-22T15:48:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07340,1973-11-22T19:47:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07341,1973-11-23T00:10:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07342,1973-11-23T07:16:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-07343,1973-11-23T08:51:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08894,1975-01-06T00:20:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08895,1975-01-06T10:05:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08896,1975-01-06T13:41:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08897,1975-01-06T21:52:00,levent-08897,deep_moonquake_assigned,deep-family:A64,test,1,exclude_prior_pilot_exposed
S12,S12_B1,PDS-levent,levent-08898,1975-01-06T23:30:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08899,1975-01-07T01:20:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08900,1975-01-07T03:26:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08901,1975-01-08T08:32:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08902,1975-01-08T13:18:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08903,1975-01-09T08:08:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08904,1975-01-09T08:21:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08905,1975-01-09T16:58:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08906,1975-01-09T21:34:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08907,1975-01-10T17:18:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08908,1975-01-10T21:26:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08909,1975-01-11T11:15:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08910,1975-01-11T18:47:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08911,1975-01-11T20:20:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08912,1975-01-12T00:30:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08913,1975-01-12T03:17:00,YN-SMQ-18,shallow_moonquake,event:YN-SMQ-18,train,1,exclude_prior_pilot_exposed
S12,S12_B1,PDS-levent,levent-08914,1975-01-12T08:08:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08915,1975-01-12T14:37:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08916,1975-01-13T00:28:00,YN-SMQ-19,shallow_moonquake,event:YN-SMQ-19,train,1,exclude_prior_pilot_exposed
S12,S12_B1,PDS-levent,levent-08917,1975-01-13T13:20:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08918,1975-01-16T22:05:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08919,1975-01-16T23:04:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08920,1975-01-17T09:15:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-08921,1975-01-19T02:46:00,levent-08921,natural_impact,event:levent-08921,train,1,exclude_prior_pilot_exposed
S12,S12_B1,PDS-levent,levent-08922,1975-01-19T10:53:00,levent-08922,natural_impact,event:levent-08922,train,1,exclude_prior_pilot_exposed
S12,S12_B1,PDS-levent,levent-08923,1975-01-19T22:34:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09713,1975-10-15T06:57:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09714,1975-10-15T17:21:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09715,1975-10-16T17:16:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09716,1975-10-17T02:43:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09717,1975-10-17T05:27:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09718,1975-10-17T08:08:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09719,1975-10-17T16:17:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09720,1975-10-17T19:55:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09721,1975-10-18T08:18:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09722,1975-10-18T11:09:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09723,1975-10-18T18:14:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09724,1975-10-19T02:08:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09725,1975-10-19T04:01:00,levent-09725,natural_impact,event:levent-09725,train,1,exclude_prior_pilot_exposed
S14,S14_B1,PDS-levent,levent-09726,1975-10-19T05:01:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09727,1975-10-19T06:42:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09728,1975-10-19T09:46:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09729,1975-10-19T15:12:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09730,1975-10-19T15:22:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09731,1975-10-19T20:22:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09732,1975-10-19T21:21:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09733,1975-10-20T07:33:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09734,1975-10-20T12:50:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09735,1975-10-20T15:51:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09736,1975-10-20T22:02:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09737,1975-10-21T00:13:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09738,1975-10-21T00:27:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09739,1975-10-21T08:57:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09740,1975-10-21T16:50:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09741,1975-10-21T17:14:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09742,1975-10-22T17:22:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09743,1975-10-22T18:59:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09744,1975-10-22T20:07:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09745,1975-10-23T09:07:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09746,1975-10-24T05:49:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09747,1975-10-24T11:01:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09748,1975-10-26T12:48:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-09749,1975-10-27T01:14:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09918,1975-12-12T17:03:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09919,1975-12-13T11:18:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09919,1975-12-13T11:18:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09920,1975-12-13T15:21:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09920,1975-12-13T15:21:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09921,1975-12-14T03:38:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09921,1975-12-14T03:38:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09922,1975-12-14T12:13:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09922,1975-12-14T12:13:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09923,1975-12-14T16:32:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09923,1975-12-14T16:32:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09924,1975-12-14T22:13:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09924,1975-12-14T22:13:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09925,1975-12-15T06:29:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09925,1975-12-15T06:29:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09926,1975-12-15T07:04:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09926,1975-12-15T07:04:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09927,1975-12-15T15:18:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09927,1975-12-15T15:18:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09928,1975-12-16T00:53:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09928,1975-12-16T00:53:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09929,1975-12-16T03:24:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09929,1975-12-16T03:24:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09930,1975-12-16T03:49:00,,,,,0,catalog_exclusion_only
S15,S15_B2,PDS-levent,levent-09930,1975-12-16T03:49:00,,,,,0,catalog_exclusion_only
S14,S14_B2,PDS-levent,levent-09931,1975-12-16T04:18:00,,,,,0,catalog_exclusion_only
