station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes
S12,1975,006,S12_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,007,S12_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,008,S12_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,009,S12_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,010,S12_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,011,S12_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,012,S12_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,013,S12_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,014,S12_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,015,S12_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,016,S12_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,017,S12_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,018,S12_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1975,019,S12_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,033,S12_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,034,S12_B2,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,035,S12_B2,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,036,S12_B2,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977
S12,1976,037,S12_B2,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,038,S12_B2,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,039,S12_B2,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,040,S12_B2,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,041,S12_B2,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,042,S12_B2,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,043,S12_B2,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,044,S12_B2,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,045,S12_B2,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S12,1976,046,S12_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S14,1975,287,S14_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,288,S14_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1546265
S14,1975,289,S14_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,290,S14_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,291,S14_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,292,S14_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1587225
S14,1975,293,S14_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,294,S14_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,295,S14_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,296,S14_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,297,S14_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,298,S14_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,299,S14_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,300,S14_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1542169
S14,1975,346,S14_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,347,S14_B2,2,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1554457
S14,1975,348,S14_B2,3,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,349,S14_B2,4,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,350,S14_B2,5,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,351,S14_B2,6,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1579033
S14,1975,352,S14_B2,7,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1407001
S14,1975,353,S14_B2,8,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,354,S14_B2,9,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,355,S14_B2,10,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1525785
S14,1975,356,S14_B2,11,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1525785
S14,1975,357,S14_B2,12,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977
S14,1975,358,S14_B2,13,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S14,1975,359,S14_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S15,1973,314,S15_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,315,S15_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,316,S15_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,317,S15_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,318,S15_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,319,S15_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,320,S15_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,321,S15_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977
S15,1973,322,S15_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,323,S15_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,324,S15_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,325,S15_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,326,S15_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,327,S15_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,347,S15_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,348,S15_B2,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,349,S15_B2,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,350,S15_B2,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
