station,block_id,catalog_source,source_event_id,reference_time,unified_candidate_id,event_class,evaluation_group,existing_fold_roles,prior_pilot_fold_exposed,prospective_event_recall_eligibility
S12,levent-00337,PDS_levent,levent-00337,1970-06-04T15:17:00,levent-00337,natural_impact,grade_c_levent-00337,none,0,eligible_integrity_audited
S12,levent-00861,PDS_levent,levent-00861,1971-03-07T13:00:00,levent-00861,natural_impact,grade_c_levent-00861,none,0,eligible_integrity_audited
S12,levent-01496,PDS_levent,levent-01496,1971-07-03T02:43:00,levent-01496,natural_impact,grade_c_levent-01496,none,0,eligible_integrity_audited
S12,levent-02604,PDS_levent,levent-02604,1971-12-31T04:02:00,levent-02604,natural_impact,grade_c_levent-02604,none,0,eligible_integrity_audited
S12,S12_1971_365,PDS_levent,levent-02605,1971-12-31T08:40:00,levent-02605,deep_moonquake_assigned,protected_levent-02605,catalog_context_only,1,catalog_exclusion_only
S12,S12_1971_365,PDS_levent,levent-02607,1971-12-31T14:31:00,levent-02607,deep_moonquake_assigned,protected_levent-02607,catalog_context_only,1,catalog_exclusion_only
S12,levent-03639,PDS_levent,levent-03639,1972-06-06T07:04:00,levent-03639,natural_impact,grade_c_levent-03639,none,0,eligible_integrity_audited
S12,S12_1972_158,PDS_levent,levent-03640,1972-06-06T07:40:00,levent-03640,deep_moonquake_assigned,protected_levent-03640,catalog_context_only,1,catalog_exclusion_only
S12,levent-03786,PDS_levent,levent-03786,1972-06-18T19:15:00,levent-03786,natural_impact,grade_c_levent-03786,none,0,eligible_integrity_audited
S12,levent-05953,PDS_levent,levent-05953,1973-02-16T06:31:00,levent-05953,natural_impact,grade_c_levent-05953,none,0,eligible_integrity_audited
S12,levent-06546,PDS_levent,levent-06546,1973-06-14T12:53:00,levent-06546,natural_impact,grade_c_levent-06546,none,0,eligible_integrity_audited
S12,S12_1974_069,PDS_levent,levent-07836,1974-03-10T18:24:00,levent-07836,deep_moonquake_assigned,protected_levent-07836,catalog_context_only,1,catalog_exclusion_only
S12,levent-07837,PDS_levent,levent-07837,1974-03-10T19:50:00,levent-07837,natural_impact,grade_c_levent-07837,none,0,eligible_integrity_audited
S12,levent-07927,PDS_levent,levent-07927,1974-04-02T21:48:00,levent-07927,natural_impact,grade_c_levent-07927,none,0,eligible_integrity_audited
S12,levent-08466,PDS_levent,levent-08466,1974-09-03T23:35:00,levent-08466,natural_impact,grade_c_levent-08466,none,0,eligible_integrity_audited
S12,levent-08492,PDS_levent,levent-08492,1974-09-09T07:55:00,levent-08492,natural_impact,grade_c_levent-08492,none,0,eligible_integrity_audited
S12,S12_1974_252,PDS_levent,levent-08494,1974-09-09T19:19:00,levent-08494,deep_moonquake_assigned,protected_levent-08494,catalog_context_only,1,catalog_exclusion_only
S12,levent-10918,PDS_levent,levent-10918,1976-08-07T16:49:00,levent-10918,natural_impact,grade_c_levent-10918,none,0,eligible_integrity_audited
S12,S12_1977_090,PDS_levent,levent-11953,1977-03-31T01:54:00,levent-11953,deep_moonquake_assigned,protected_levent-11953,catalog_context_only,1,catalog_exclusion_only
S12,S12_1977_090,PDS_levent,levent-11956,1977-03-31T06:02:00,levent-11956,deep_moonquake_assigned,protected_levent-11956,catalog_context_only,1,catalog_exclusion_only
S12,S12_1977_090,PDS_levent,levent-11959,1977-03-31T09:18:00,levent-11959,deep_moonquake_assigned,protected_levent-11959,catalog_context_only,1,catalog_exclusion_only
S12,S12_1977_090,PDS_levent,levent-11960,1977-03-31T12:17:00,levent-11960,deep_moonquake_assigned,protected_levent-11960,catalog_context_only,1,catalog_exclusion_only
S12,S12_1977_090,PDS_levent,levent-11961,1977-03-31T13:27:00,levent-11961,deep_moonquake_assigned,protected_levent-11961,catalog_context_only,1,catalog_exclusion_only
S12,S12_1977_090,PDS_levent,levent-11962,1977-03-31T13:37:00,levent-11962,deep_moonquake_assigned,protected_levent-11962,catalog_context_only,1,catalog_exclusion_only
