batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
1,levent-00010,artificial_impact_lm,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00017,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00022,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00030,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00039,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00051,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00055,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00094,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00097,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00104,natural_impact,S12,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-00114,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00125,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00126,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00132,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00137,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00138,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00139,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00146,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00186,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00197,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00215,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00217,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00224,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00225,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00238,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00240,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00255,artificial_impact_sivb,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00271,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00274,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00280,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00281,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00321,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00325,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00329,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00333,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00334,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00357,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00365,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00376,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00381,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00393,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00408,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00414,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00415,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00418,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00420,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00421,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00423,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00425,natural_impact,S12,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-00449,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00456,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00467,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00513,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00517,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00530,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00551,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00556,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00557,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00563,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00566,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00600,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00604,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00614,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00615,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00623,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00631,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00652,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00653,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00654,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00662,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00665,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00668,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
