event_id,source_group,station,year,doy,start_time_utc,att_available,shz_available,all_data_and_labels_available,selected_bytes
YN-SMQ-1,legacy_yn,S14,1971,107,07:04:00,1,1,1,5519330
YN-SMQ-1,legacy_yn,S15,1971,107,07:04:00,0,0,0,0
YN-SMQ-1,legacy_yn,S16,1971,107,07:04:00,0,0,0,0
YN-SMQ-2,legacy_yn,S14,1971,140,17:29:00,1,1,1,5494754
YN-SMQ-2,legacy_yn,S15,1971,140,17:29:00,0,0,0,0
YN-SMQ-2,legacy_yn,S16,1971,140,17:29:00,0,0,0,0
YN-SMQ-3,legacy_yn,S14,1971,192,13:27:00,1,1,1,5523426
YN-SMQ-3,legacy_yn,S15,1971,192,13:27:00,0,0,0,0
YN-SMQ-3,legacy_yn,S16,1971,192,13:27:00,0,0,0,0
YN-SMQ-4,legacy_yn,S14,1972,002,22:32:00,1,1,1,5519330
YN-SMQ-4,legacy_yn,S15,1972,002,22:32:00,1,1,1,7383010
YN-SMQ-4,legacy_yn,S16,1972,002,22:32:00,0,0,0,0
YN-SMQ-5,legacy_yn,S14,1972,261,14:38:00,1,1,1,5523426
YN-SMQ-5,legacy_yn,S15,1972,261,14:38:00,1,1,1,7182306
YN-SMQ-5,legacy_yn,S16,1972,261,14:38:00,1,1,1,5588962
YN-SMQ-6,legacy_yn,S14,1972,341,23:10:00,1,1,1,5511138
YN-SMQ-6,legacy_yn,S15,1972,341,23:10:00,1,1,1,6203362
YN-SMQ-6,legacy_yn,S16,1972,341,23:10:00,1,1,1,5515234
YN-SMQ-7,legacy_yn,S14,1972,344,03:52:00,1,1,1,4847586
YN-SMQ-7,legacy_yn,S15,1972,344,03:52:00,1,1,1,6277090
YN-SMQ-7,legacy_yn,S16,1972,344,03:52:00,1,1,1,5433314
YN-SMQ-8,legacy_yn,S14,1973,039,22:53:00,1,1,1,5511138
YN-SMQ-8,legacy_yn,S15,1973,039,22:53:00,1,1,1,6219746
YN-SMQ-8,legacy_yn,S16,1973,039,22:53:00,1,1,1,5068770
YN-SMQ-9,legacy_yn,S14,1973,072,08:01:00,1,1,1,5146594
YN-SMQ-9,legacy_yn,S15,1973,072,08:01:00,1,1,1,7391202
YN-SMQ-9,legacy_yn,S16,1973,072,08:01:00,1,1,1,5552098
YN-SMQ-10,legacy_yn,S14,1973,171,20:25:00,1,1,1,5445602
YN-SMQ-10,legacy_yn,S15,1973,171,20:25:00,1,1,1,7362530
YN-SMQ-10,legacy_yn,S16,1973,171,20:25:00,1,1,1,5490658
YN-SMQ-11,legacy_yn,S14,1973,274,04:00:00,1,1,1,4020194
YN-SMQ-11,legacy_yn,S15,1973,274,04:00:00,1,1,1,5883874
YN-SMQ-11,legacy_yn,S16,1973,274,04:00:00,1,1,1,5445602
YN-SMQ-12,legacy_yn,S14,1974,054,21:17:00,1,1,1,5490658
YN-SMQ-12,legacy_yn,S15,1974,054,21:17:00,1,1,1,6133730
YN-SMQ-12,legacy_yn,S16,1974,054,21:17:00,1,1,1,5523426
YN-SMQ-13,legacy_yn,S14,1974,086,09:11:00,1,1,1,5523426
YN-SMQ-13,legacy_yn,S15,1974,086,09:11:00,1,1,1,6150114
YN-SMQ-13,legacy_yn,S16,1974,086,09:11:00,1,1,1,5523426
YN-SMQ-14,legacy_yn,S14,1974,109,13:39:00,1,1,1,5502946
YN-SMQ-14,legacy_yn,S15,1974,109,13:39:00,1,1,1,6137826
YN-SMQ-14,legacy_yn,S16,1974,109,13:39:00,1,1,1,5515234
YN-SMQ-15,legacy_yn,S14,1974,149,20:45:00,1,1,1,5515234
YN-SMQ-15,legacy_yn,S15,1974,149,20:45:00,1,1,1,6850530
YN-SMQ-15,legacy_yn,S16,1974,149,20:45:00,1,1,1,5535714
YN-SMQ-16,legacy_yn,S14,1974,192,00:52:00,1,1,1,5183458
YN-SMQ-16,legacy_yn,S15,1974,192,00:52:00,1,1,1,6752226
YN-SMQ-16,legacy_yn,S16,1974,192,00:52:00,1,1,1,5302242
YN-SMQ-17,legacy_yn,S14,1975,003,01:47:00,1,1,1,5539810
YN-SMQ-17,legacy_yn,S15,1975,003,01:47:00,1,1,1,7391202
YN-SMQ-17,legacy_yn,S16,1975,003,01:47:00,1,1,1,5535714
YN-SMQ-18,legacy_yn,S14,1975,012,03:17:00,1,1,1,5523426
YN-SMQ-18,legacy_yn,S15,1975,012,03:17:00,1,1,1,6383586
YN-SMQ-18,legacy_yn,S16,1975,012,03:17:00,1,1,1,5527522
YN-SMQ-19,legacy_yn,S14,1975,013,00:28:00,1,1,1,5527522
YN-SMQ-19,legacy_yn,S15,1975,013,00:28:00,1,1,1,6428642
YN-SMQ-19,legacy_yn,S16,1975,013,00:28:00,1,1,1,5519330
YN-SMQ-20,legacy_yn,S14,1975,044,22:05:00,1,1,1,5527522
YN-SMQ-20,legacy_yn,S15,1975,044,22:05:00,1,1,1,6354914
YN-SMQ-20,legacy_yn,S16,1975,044,22:05:00,1,1,1,5527522
YN-SMQ-21,legacy_yn,S14,1975,127,06:40:00,1,1,1,5273570
YN-SMQ-21,legacy_yn,S15,1975,127,06:40:00,1,1,1,6203362
YN-SMQ-21,legacy_yn,S16,1975,127,06:40:00,1,1,1,5515234
YN-SMQ-22,legacy_yn,S14,1975,147,23:32:00,1,1,1,5527522
YN-SMQ-22,legacy_yn,S15,1975,147,23:32:00,1,1,1,7391202
YN-SMQ-22,legacy_yn,S16,1975,147,23:32:00,1,1,1,5527522
YN-SMQ-23,legacy_yn,S14,1975,314,07:56:00,1,1,1,5208034
YN-SMQ-23,legacy_yn,S15,1975,314,07:56:00,1,1,1,6158306
YN-SMQ-23,legacy_yn,S16,1975,314,07:56:00,1,1,1,5543906
YN-SMQ-24,legacy_yn,S14,1976,004,11:20:00,1,1,1,5191650
YN-SMQ-24,legacy_yn,S15,1976,004,11:20:00,1,1,1,6162402
YN-SMQ-24,legacy_yn,S16,1976,004,11:20:00,1,1,1,5515234
YN-SMQ-25,legacy_yn,S14,1976,012,08:22:00,1,1,1,5236706
YN-SMQ-25,legacy_yn,S15,1976,012,08:22:00,1,1,1,7391202
YN-SMQ-25,legacy_yn,S16,1976,012,08:22:00,1,1,1,5531618
YN-SMQ-26,legacy_yn,S14,1976,066,10:16:00,1,1,1,6080482
YN-SMQ-26,legacy_yn,S15,1976,066,10:16:00,1,1,1,6088674
YN-SMQ-26,legacy_yn,S16,1976,066,10:16:00,1,1,1,5478370
YN-SMQ-27,legacy_yn,S14,1976,068,14:44:00,1,1,1,5478370
YN-SMQ-27,legacy_yn,S15,1976,068,14:44:00,1,1,1,6154210
YN-SMQ-27,legacy_yn,S16,1976,068,14:44:00,1,1,1,5580770
YN-SMQ-28,legacy_yn,S14,1976,137,12:36:00,0,0,0,0
YN-SMQ-28,legacy_yn,S15,1976,137,12:36:00,1,1,1,7366626
YN-SMQ-28,legacy_yn,S16,1976,137,12:36:00,1,1,1,5523426
KO-SMQ-1,new_ko,S15,1971,334,01:07:57,1,1,1,7370722
KO-SMQ-2,new_ko,S14,1972,005,22:42:33,1,1,1,5527522
KO-SMQ-2,new_ko,S15,1972,005,22:42:33,1,1,1,7387106
KO-SMQ-3,new_ko,S15,1972,154,16:49:07,1,1,1,7387106
KO-SMQ-3,new_ko,S14,1972,154,16:49:07,1,1,1,5486562
KO-SMQ-4,new_ko,S14,1972,170,19:34:31,1,1,1,5527522
KO-SMQ-4,new_ko,S15,1972,170,19:34:31,1,1,1,6178786
KO-SMQ-4,new_ko,S16,1972,170,19:34:31,1,1,1,5535714
KO-SMQ-5,new_ko,S15,1972,176,12:27:49,1,1,1,7383010
KO-SMQ-6,new_ko,S14,1972,255,00:54:27,1,1,1,5511138
KO-SMQ-6,new_ko,S15,1972,255,00:54:27,1,1,1,6326242
KO-SMQ-6,new_ko,S16,1972,255,00:54:27,1,1,1,5318626
KO-SMQ-7,new_ko,S14,1972,298,14:25:25,1,1,1,5531618
KO-SMQ-8,new_ko,S15,1973,129,11:02:13,1,1,1,6137826
KO-SMQ-9,new_ko,S15,1973,168,12:59:43,1,1,1,7387106
KO-SMQ-10,new_ko,S15,1973,226,19:10:25,1,1,1,7329762
KO-SMQ-11,new_ko,S15,1973,236,04:07:35,1,1,1,6170594
KO-SMQ-12,new_ko,S15,1973,257,04:31:37,1,1,1,7358434
KO-SMQ-13,new_ko,S15,1973,287,23:07:04,1,1,1,7247842
KO-SMQ-14,new_ko,S15,1973,294,20:23:02,1,1,1,6150114
KO-SMQ-15,new_ko,S15,1973,307,17:37:13,1,1,1,6711266
KO-SMQ-16,new_ko,S15,1973,346,08:39:31,1,1,1,7383010
KO-SMQ-17,new_ko,S15,1973,360,07:37:04,1,1,1,6154210
KO-SMQ-18,new_ko,S15,1973,363,08:50:41,1,1,1,5814242
KO-SMQ-19,new_ko,S15,1974,172,19:17:30,1,1,1,6932450
KO-SMQ-20,new_ko,S14,1974,187,18:44:53,1,1,1,5527522
KO-SMQ-21,new_ko,S15,1974,242,10:47:49,1,1,1,7350242
KO-SMQ-22,new_ko,S15,1974,245,17:59:37,1,1,1,7383010
KO-SMQ-23,new_ko,S15,1974,338,03:43:17,1,1,1,7391202
KO-SMQ-24,new_ko,S15,1975,029,09:57:38,1,1,1,7391202
KO-SMQ-25,new_ko,S15,1975,078,03:05:53,1,1,1,6604770
KO-SMQ-26,new_ko,S15,1975,082,21:10:13,1,1,1,7391202
KO-SMQ-27,new_ko,S15,1975,093,05:21:57,1,1,1,7370722
