event_id,physical_event_group,evaluation_group,evaluation_group_type,event_class,source_catalogs,source_event_ids,reference_time,time_precision,time_semantics,type_code_t2,grade,family_id,reported_stations,positive_visibility_channels,waveform_qa_scope,usable_stations,questionable_stations,rejected_stations,usable_window_count,questionable_window_count,rejected_window_count,candidate_status,nonshallow_qa_status,nonshallow_qa_batches,nonshallow_usable_stations,nonshallow_questionable_stations,nonshallow_rejected_stations,label_provenance,license_release_note
levent-00010,event:levent-00010,event:levent-00010,physical_event,artificial_impact_lm,PDS-levent,levent-00010,1969-11-20T22:17:00,minute,catalog_start_not_phase_pick,L,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00017,event:levent-00017,deep-family:A2,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00017,1969-11-30T03:24:00,minute,catalog_start_not_phase_pick,A,B,A2,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00022,event:levent-00022,event:levent-00022,physical_event,natural_impact,PDS-levent,levent-00022,1969-12-01T05:28:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00030,event:levent-00030,event:levent-00030,physical_event,natural_impact,PDS-levent,levent-00030,1969-12-08T01:44:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00039,event:levent-00039,deep-family:A6,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00039,1969-12-12T01:54:00,minute,catalog_start_not_phase_pick,A,B,A6,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00051,event:levent-00051,event:levent-00051,physical_event,natural_impact,PDS-levent,levent-00051,1969-12-14T09:03:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00055,event:levent-00055,event:levent-00055,physical_event,natural_impact,PDS-levent,levent-00055,1969-12-16T00:27:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00094,event:levent-00094,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00094,1970-01-09T02:03:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00097,event:levent-00097,deep-family:A5,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00097,1970-01-10T04:09:00,minute,catalog_start_not_phase_pick,A,B,A5,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00104,event:levent-00104,event:levent-00104,physical_event,natural_impact,PDS-levent,levent-00104,1970-01-19T20:25:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH1;S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00114,event:levent-00114,event:levent-00114,physical_event,natural_impact,PDS-levent,levent-00114,1970-01-24T06:53:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00125,event:levent-00125,deep-family:A4,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00125,1970-02-02T10:59:00,minute,catalog_start_not_phase_pick,A,B,A4,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
